Name,Category,Equipment,Primary Muscle,Level,Mechanic
"3/4 Sit-Up","strength","body only","abdominals","beginner","compound"
"90/90 Hamstring","stretching","body only","hamstrings","beginner",""
"Ab Crunch Machine","strength","machine","abdominals","intermediate","isolation"
"Ab Roller","strength","other","abdominals","intermediate","compound"
"Adductor","stretching","foam roll","adductors","intermediate","isolation"
"Adductor/Groin","stretching","","adductors","intermediate",""
"Advanced Kettlebell Windmill","strength","kettlebells","abdominals","intermediate","isolation"
"Air Bike","strength","body only","abdominals","beginner","compound"
"All Fours Quad Stretch","stretching","body only","quadriceps","intermediate",""
"Alternate Hammer Curl","strength","dumbbell","biceps","beginner","isolation"
"Alternate Heel Touchers","strength","body only","abdominals","beginner","isolation"
"Alternate Incline Dumbbell Curl","strength","dumbbell","biceps","beginner","isolation"
"Alternate Leg Diagonal Bound","plyometrics","","quadriceps","beginner","compound"
"Alternating Cable Shoulder Press","strength","cable","shoulders","beginner","compound"
"Alternating Deltoid Raise","strength","dumbbell","shoulders","beginner","isolation"
"Alternating Floor Press","strength","kettlebells","chest","beginner","compound"
"Alternating Hang Clean","strength","kettlebells","hamstrings","intermediate","compound"
"Alternating Kettlebell Press","strength","kettlebells","shoulders","intermediate","compound"
"Alternating Kettlebell Row","strength","kettlebells","middle back","intermediate","isolation"
"Alternating Renegade Row","strength","kettlebells","middle back","expert","compound"
"Ankle Circles","stretching","","calves","beginner","isolation"
"Ankle On The Knee","stretching","","glutes","beginner",""
"Anterior Tibialis-SMR","stretching","other","calves","intermediate",""
"Anti-Gravity Press","strength","barbell","shoulders","beginner","compound"
"Arm Circles","stretching","","shoulders","beginner","isolation"
"Arnold Dumbbell Press","strength","dumbbell","shoulders","intermediate","compound"
"Around The Worlds","strength","dumbbell","chest","intermediate","compound"
"Atlas Stone Trainer","strongman","other","lower back","intermediate","compound"
"Atlas Stones","strongman","other","lower back","expert","compound"
"Axle Deadlift","strongman","other","lower back","intermediate","compound"
"Back Flyes - With Bands","strength","bands","shoulders","beginner","compound"
"Backward Drag","strongman","other","quadriceps","beginner","compound"
"Backward Medicine Ball Throw","plyometrics","medicine ball","shoulders","beginner","compound"
"Balance Board","strength","other","calves","beginner","compound"
"Ball Leg Curl","strength","exercise ball","hamstrings","beginner","isolation"
"Band Assisted Pull-Up","strength","other","lats","beginner","compound"
"Band Good Morning","powerlifting","bands","hamstrings","beginner","compound"
"Band Good Morning (Pull Through)","powerlifting","bands","hamstrings","beginner","compound"
"Band Hip Adductions","strength","bands","adductors","beginner","isolation"
"Band Pull Apart","strength","bands","shoulders","beginner","isolation"
"Band Skull Crusher","strength","bands","triceps","beginner","isolation"
"Barbell Ab Rollout","strength","barbell","abdominals","intermediate","compound"
"Barbell Ab Rollout - On Knees","strength","barbell","abdominals","expert","compound"
"Barbell Bench Press - Medium Grip","strength","barbell","chest","beginner","compound"
"Barbell Curl","strength","barbell","biceps","beginner","isolation"
"Barbell Curls Lying Against An Incline","strength","barbell","biceps","beginner","isolation"
"Barbell Deadlift","strength","barbell","lower back","intermediate","compound"
"Barbell Full Squat","strength","barbell","quadriceps","intermediate","compound"
"Barbell Glute Bridge","powerlifting","barbell","glutes","intermediate","compound"
"Barbell Guillotine Bench Press","strength","barbell","chest","intermediate","compound"
"Barbell Hack Squat","strength","barbell","quadriceps","intermediate","compound"
"Barbell Hip Thrust","powerlifting","barbell","glutes","intermediate","compound"
"Barbell Incline Bench Press - Medium Grip","strength","barbell","chest","beginner","compound"
"Barbell Incline Shoulder Raise","strength","barbell","shoulders","beginner","compound"
"Barbell Lunge","strength","barbell","quadriceps","intermediate","compound"
"Barbell Rear Delt Row","strength","barbell","shoulders","beginner","compound"
"Barbell Rollout from Bench","strength","barbell","abdominals","intermediate","compound"
"Barbell Seated Calf Raise","strength","barbell","calves","beginner","isolation"
"Barbell Shoulder Press","strength","barbell","shoulders","intermediate","compound"
"Barbell Shrug","strength","barbell","traps","beginner","isolation"
"Barbell Shrug Behind The Back","strength","barbell","traps","beginner","isolation"
"Barbell Side Bend","strength","barbell","abdominals","beginner","isolation"
"Barbell Side Split Squat","strength","barbell","quadriceps","beginner","compound"
"Barbell Squat","strength","barbell","quadriceps","beginner","compound"
"Barbell Squat To A Bench","strength","barbell","quadriceps","expert","compound"
"Barbell Step Ups","strength","barbell","quadriceps","intermediate","compound"
"Barbell Walking Lunge","strength","barbell","quadriceps","beginner","compound"
"Battling Ropes","strength","other","shoulders","beginner","compound"
"Bear Crawl Sled Drags","strongman","other","quadriceps","beginner","compound"
